"","Year","Standardized.Spelling.Location","Count"
"1",1743,"Ferry Farm",1
"2",1753,"Mount Vernon",1
"3",1757,"New Kent County",1
"4",1758,"King William",1
"5",1758,"York County",1
"6",1761,"Dogue Run",1
"7",1762,"Dogue Run",1
"8",1763,"Dogue Run",1
"9",1764,"Dogue Run",1
"10",1765,"Dogue Run",1
"11",1765,"Mill Complex",1
"12",1766,"Dogue Run",1
"13",1766,"Mill Complex",1
"14",1767,"Mill Complex",1
"15",1768,"Mill Complex",1
"16",1769,"Mill Complex",1
"17",1769,"River Farm",1
"18",1770,"Dogue Run",1
"19",1770,"Mill Complex",1
"20",1771,"Dogue Run",1
"21",1771,"Ferry Plantation",2
"22",1771,"Mill Quarter",1
"23",1771,"Rockahock",1
"24",1772,"Dogue Run",1
"25",1772,"Ferry Plantation",2
"26",1773,"Dogue Run",1
"27",1773,"Ferry Plantation",1
"28",1773,"Mansion House",1
"29",1774,"Dogue Run",1
"30",1774,"Ferry Plantation",2
"31",1785,"River Farm",1
"32",1786,"Dogue Run",1
"33",1786,"Ferry Plantation",2
"34",1786,"Mansion House",1
"35",1786,"River Farm",1
"36",1788,"Dogue Run",1
"37",1788,"Ferry Plantation",3
"38",1799,"Dogue Run",2
"39",1799,"Mansion House",2
"40",1799,"Muddy Hole",1
"41",1799,"River Farm",1
"42",1799,"Union Farm",2
